Year,Temp
191305,-0.39
191306,-0.41
191307,-0.4
191308,-0.39
191309,-0.37
191310,-0.35
191311,-0.35
191312,-0.32
191401,-0.29
191402,-0.27
191403,-0.26
191404,-0.24
191405,-0.22
191406,-0.21
191407,-0.2
191408,-0.19
191409,-0.18
191410,-0.16
191411,-0.14
191412,-0.14
191501,-0.15
191502,-0.14
191503,-0.12
191504,-0.09
191505,-0.08
191506,-0.07
191507,-0.06
191508,-0.05
191509,-0.05
191510,-0.06
191511,-0.07
191512,-0.09
191601,-0.09
191602,-0.1
191603,-0.11
191604,-0.14
191605,-0.16
191606,-0.17
191607,-0.19
191608,-0.2
191609,-0.21
191610,-0.22
191611,-0.26
191612,-0.3
191701,-0.34
191702,-0.38
191703,-0.41
191704,-0.44
191705,-0.46
191706,-0.47
191707,-0.46
191708,-0.46
191709,-0.45
191710,-0.46
191711,-0.45
191712,-0.43
191801,-0.43
191802,-0.41
191803,-0.39
191804,-0.38
191805,-0.37
191806,-0.37
191807,-0.38
191808,-0.39
191809,-0.38
191810,-0.35
191811,-0.34
191812,-0.31
191901,-0.27
191902,-0.26
191903,-0.25
191904,-0.21
191905,-0.19
191906,-0.19
191907,-0.19
191908,-0.2
191909,-0.2
191910,-0.21
191911,-0.23
191912,-0.23
192001,-0.24
192002,-0.24
192003,-0.23
192004,-0.25
192005,-0.25
192006,-0.25
192007,-0.25
192008,-0.24
192009,-0.24
192010,-0.24
192011,-0.23
192012,-0.23
192101,-0.23
192102,-0.23
192103,-0.24
192104,-0.25
192105,-0.25
192106,-0.24
192107,-0.23
192108,-0.22
192109,-0.22
192110,-0.2
192111,-0.19
192112,-0.17
192201,-0.18
192202,-0.19
192203,-0.18
192204,-0.17
192205,-0.18
192206,-0.18
192207,-0.2
192208,-0.21
192209,-0.22
192210,-0.24
192211,-0.24
192212,-0.24
192301,-0.25
192302,-0.24
192303,-0.26
192304,-0.27
192305,-0.27
192306,-0.26
192307,-0.26
192308,-0.27
192309,-0.27
192310,-0.26
192311,-0.26
192312,-0.25
192401,-0.24
192402,-0.23
192403,-0.2
192404,-0.19
192405,-0.18
192406,-0.18
192407,-0.18
192408,-0.18
192409,-0.18
192410,-0.19
192411,-0.2
192412,-0.23
192501,-0.25
192502,-0.27
192503,-0.28
192504,-0.28
192505,-0.29
192506,-0.29
192507,-0.29
192508,-0.27
192509,-0.27
192510,-0.25
192511,-0.24
192512,-0.21
192601,-0.16
192602,-0.12
192603,-0.09
192604,-0.08
192605,-0.08
192606,-0.07
192607,-0.07
192608,-0.07
192609,-0.06
192610,-0.05
192611,-0.05
192612,-0.07
192701,-0.11
192702,-0.13
192703,-0.16
192704,-0.19
192705,-0.19
192706,-0.19
192707,-0.19
192708,-0.18
192709,-0.17
192710,-0.17
192711,-0.17
192712,-0.17
192801,-0.16
192802,-0.15
192803,-0.14
192804,-0.14
192805,-0.13
192806,-0.14
192807,-0.14
192808,-0.15
192809,-0.15
192810,-0.17
192811,-0.17
192812,-0.16
192901,-0.18
192902,-0.21
192903,-0.22
192904,-0.23
192905,-0.24
192906,-0.26
192907,-0.28
192908,-0.28
192909,-0.29
192910,-0.28
192911,-0.29
192912,-0.32
193001,-0.32
193002,-0.3
193003,-0.29
193004,-0.27
193005,-0.25
193006,-0.23
193007,-0.2
193008,-0.2
193009,-0.19
193010,-0.18
193011,-0.15
193012,-0.11
193101,-0.09
193102,-0.08
193103,-0.08
193104,-0.08
193105,-0.07
193106,-0.06
193107,-0.06
193108,-0.05
193109,-0.04
193110,-0.03
193111,-0.05
193112,-0.05
193201,-0.04
193202,-0.04
193203,-0.04
193204,-0.03
193205,-0.03
193206,-0.04
193207,-0.06
193208,-0.08
193209,-0.09
193210,-0.09
193211,-0.11
193212,-0.13
193301,-0.15
193302,-0.16
193303,-0.16
193304,-0.18
193305,-0.19
193306,-0.2
193307,-0.2
193308,-0.2
193309,-0.22
193310,-0.23
193311,-0.23
193312,-0.24
193401,-0.25
193402,-0.23
193403,-0.24
193404,-0.24
193405,-0.23
193406,-0.22
193407,-0.21
193408,-0.19
193409,-0.17
193410,-0.16
193411,-0.13
193412,-0.1
193501,-0.11
193502,-0.09
193503,-0.08
193504,-0.09
193505,-0.1
193506,-0.12
193507,-0.12
193508,-0.12
193509,-0.13
193510,-0.13
193511,-0.15
193512,-0.15
193601,-0.15
193602,-0.19
193603,-0.19
193604,-0.17
193605,-0.16
193606,-0.15
193607,-0.15
193608,-0.14
193609,-0.14
193610,-0.13
193611,-0.12
193612,-0.11
193701,-0.09
193702,-0.07
193703,-0.07
193704,-0.07
193705,-0.06
193706,-0.05
193707,-0.05
193708,-0.04
193709,-0.02
193710,-0.02
193711,0
193712,-0.01
193801,0
193802,0
193803,0.03
193804,0.04
193805,0.04
193806,0.03
193807,0.03
193808,0.02
193809,0.01
193810,0.01
193811,0.01
193812,0
193901,0
193902,-0.01
193903,-0.04
193904,-0.05
193905,-0.05
193906,-0.03
193907,-0.03
193908,-0.02
193909,-0.02
193910,-0.03
193911,-0.03
193912,0.02
194001,0.03
194002,0.05
194003,0.07
194004,0.1
194005,0.12
194006,0.12
194007,0.13
194008,0.12
194009,0.14
194010,0.15
194011,0.16
194012,0.15
194101,0.15
194102,0.17
194103,0.17
194104,0.17
194105,0.18
194106,0.19
194107,0.2
194108,0.21
194109,0.21
194110,0.22
194111,0.23
194112,0.23
194201,0.24
194202,0.21
194203,0.21
194204,0.2
194205,0.19
194206,0.18
194207,0.17
194208,0.15
194209,0.15
194210,0.12
194211,0.11
194212,0.09
194301,0.06
194302,0.07
194303,0.06
194304,0.06
194305,0.05
194306,0.03
194307,0.04
194308,0.04
194309,0.03
194310,0.05
194311,0.06
194312,0.07
194401,0.1
194402,0.12
194403,0.15
194404,0.15
194405,0.17
194406,0.2
194407,0.2
194408,0.22
194409,0.24
194410,0.24
194411,0.24
194412,0.24
194501,0.23
194502,0.21
194503,0.19
194504,0.2
194505,0.19
194506,0.19
194507,0.18
194508,0.2
194509,0.19
194510,0.18
194511,0.17
194512,0.15
194601,0.15
194602,0.15
194603,0.14
194604,0.12
194605,0.11
194606,0.08
194607,0.07
194608,0.03
194609,0
194610,-0.01
194611,-0.02
194612,-0.04
194701,-0.05
194702,-0.05
194703,-0.05
194704,-0.04
194705,-0.04
194706,-0.02
194707,-0.02
194708,-0.01
194709,-0.02
194710,-0.01
194711,-0.01
194712,0
194801,0
194802,-0.01
194803,-0.03
194804,-0.05
194805,-0.04
194806,-0.05
194807,-0.05
194808,-0.05
194809,-0.05
194810,-0.05
194811,-0.06
194812,-0.07
194901,-0.06
194902,-0.06
194903,-0.04
194904,-0.04
194905,-0.05
194906,-0.06
194907,-0.06
194908,-0.06
194909,-0.07
194910,-0.07
194911,-0.07
194912,-0.06
195001,-0.09
195002,-0.09
195003,-0.1
195004,-0.11
195005,-0.11
195006,-0.1
195007,-0.1
195008,-0.1
195009,-0.09
195010,-0.1
195011,-0.12
195012,-0.13
195101,-0.14
195102,-0.15
195103,-0.16
195104,-0.16
195105,-0.16
195106,-0.15
195107,-0.14
195108,-0.13
195109,-0.11
195110,-0.08
195111,-0.06
195112,-0.03
195201,0.01
195202,0.05
195203,0.06
195204,0.08
195205,0.08
195206,0.08
195207,0.08
195208,0.08
195209,0.07
195210,0.06
195211,0.06
195212,0.05
195301,0.04
195302,0.04
195303,0.06
195304,0.07
195305,0.09
195306,0.1
195307,0.1
195308,0.1
195309,0.09
195310,0.1
195311,0.1
195312,0.1
195401,0.08
195402,0.06
195403,0.04
195404,0
195405,-0.02
195406,-0.05
195407,-0.05
195408,-0.07
195409,-0.07
195410,-0.08
195411,-0.08
195412,-0.09
195501,-0.07
195502,-0.08
195503,-0.09
195504,-0.1
195505,-0.09
195506,-0.1
195507,-0.1
195508,-0.09
195509,-0.08
195510,-0.09
195511,-0.11
195512,-0.12
195601,-0.14
195602,-0.14
195603,-0.13
195604,-0.13
195605,-0.14
195606,-0.14
195607,-0.14
195608,-0.17
195609,-0.18
195610,-0.19
195611,-0.18
195612,-0.16
195701,-0.16
195702,-0.15
195703,-0.14
195704,-0.12
195705,-0.09
195706,-0.06
195707,-0.05
195708,-0.02
195709,0.01
195710,0.03
195711,0.05
195712,0.06
195801,0.09
195802,0.12
195803,0.13
195804,0.13
195805,0.13
195806,0.12
195807,0.13
195808,0.11
195809,0.1
195810,0.1
195811,0.1
195812,0.09
195901,0.07
195902,0.07
195903,0.08
195904,0.08
195905,0.08
195906,0.09
195907,0.08
195908,0.09
195909,0.09
195910,0.09
195911,0.08
195912,0.08
196001,0.07
196002,0.08
196003,0.04
196004,0.02
196005,0
196006,-0.01
